Model,Val_RMSE,Val_MAE,Val_R2,Test_RMSE,Test_MAE,Test_R2
Random Forest,17.011740202495172,12.406222530791004,0.8336973066072835,17.04430126896839,11.891494015146025,0.8190957810981557
Gradient Boosting,17.062516328846883,12.541635345033773,0.8327030745678159,17.454570476255164,11.766629169542709,0.8102819625463754
Linear Regression,20.410926787699808,16.483550262098902,0.760598289280479,20.793872163464503,16.56723054346865,0.7307467026074668
